iter	MultiClass
0	0.9254213086
1	0.7892681222
2	0.6831024834
3	0.5954826113
4	0.5241956018
5	0.4631280855
6	0.4121212279
7	0.3680197473
8	0.3307295338
9	0.2973820368
10	0.2685537163
11	0.2433033121
12	0.2200511569
13	0.1990969556
14	0.1809547585
15	0.1646115548
16	0.1501436899
17	0.1373208238
18	0.1248285599
19	0.1136156204
20	0.1042551556
21	0.0956910236
22	0.08825692177
23	0.0806778894
24	0.07491556328
25	0.06855985826
26	0.06305699531
27	0.05877776041
28	0.05434031442
29	0.05042149717
30	0.04653731558
31	0.04320466389
32	0.04028176317
33	0.03716862462
34	0.03488291556
35	0.0325049855
36	0.03042299772
37	0.02843513131
38	0.02658188849
39	0.02514578069
40	0.02349414881
41	0.02219394237
42	0.02087106032
43	0.01989718303
44	0.01882915955
45	0.0179668038
46	0.01698893797
47	0.01637343685
48	0.01556112779
49	0.01477345423
50	0.01414713337
51	0.01348630767
52	0.01290260901
53	0.01240398359
54	0.01199775215
55	0.01146306912
56	0.01106834827
57	0.01076831158
58	0.01042953934
59	0.0101620826
60	0.009865807358
61	0.009470213525
62	0.009209484756
63	0.008870849398
64	0.008548448997
65	0.008432216675
66	0.008264837977
67	0.008087911592
68	0.007958868317
69	0.007700663902
70	0.007533854697
71	0.007363921073
72	0.007211163425
73	0.007007928626
74	0.006875919623
75	0.00672299218
76	0.006618443991
77	0.006505160426
78	0.0063315584
79	0.006252079799
80	0.006024517971
81	0.005968531009
82	0.005841263883
83	0.005760887655
84	0.005691677197
85	0.00563026464
86	0.005576578882
87	0.005505591108
88	0.00541090406
89	0.005356865287
90	0.005255124702
91	0.005173805422
92	0.005104756732
93	0.005053906228
94	0.0050013257
95	0.00494756725
96	0.004896991527
97	0.00486323376
98	0.004799895472
99	0.00474343045
100	0.004671872919
101	0.004623669748
102	0.004564863802
103	0.004513137022
104	0.004463533584
105	0.004408262753
106	0.004367064734
107	0.004299555699
108	0.004234163841
109	0.004155944465
110	0.004122046048
111	0.004077623239
112	0.003996519278
113	0.003921042813
114	0.003882074384
115	0.00384319968
116	0.00380230192
117	0.003755412072
118	0.003667400101
119	0.003642887984
120	0.003595183585
121	0.003565434873
122	0.003533023796
123	0.003468268098
124	0.003439794407
125	0.003401731206
126	0.003361911207
127	0.003318818032
128	0.00328614539
129	0.003236567756
130	0.003190483384
131	0.003169158507
132	0.003149380832
133	0.003127590218
134	0.003099434273
135	0.003065751161
136	0.0030302206
137	0.003007264385
138	0.002940927575
139	0.002929425039
140	0.002918787714
141	0.002891539966
142	0.002873177495
143	0.00284592182
144	0.002805145231
145	0.002774253643
146	0.002762904073
147	0.002738111378
148	0.00272881284
149	0.002713232372
150	0.002677383211
151	0.002655599247
152	0.002605516816
153	0.002588498638
154	0.002577933638
155	0.002542451134
156	0.002518384233
157	0.002485952803
158	0.002455902067
159	0.002423683257
160	0.002395424709
161	0.002379583461
162	0.002349669896
163	0.002324949339
164	0.002307260294
165	0.002272046953
166	0.002260647154
167	0.00224913297
168	0.002225109659
169	0.002200254674
170	0.002179378686
171	0.002166009066
172	0.002137035079
173	0.002119836861
174	0.002099388118
175	0.002085864527
176	0.002055620521
177	0.002046196687
178	0.002017879441
179	0.00200437502
180	0.001986710239
181	0.001974802067
182	0.001955338005
183	0.001935230181
184	0.001927084113
185	0.001910844136
186	0.001887958918
187	0.001856631898
188	0.001837772039
189	0.001829621515
190	0.00182067211
191	0.001808301631
192	0.001801121109
193	0.001784099686
194	0.001769598854
195	0.001763171536
196	0.001757919999
197	0.001753484666
198	0.001743976541
199	0.001735753633
200	0.001731227476
201	0.001712775931
202	0.001699382088
203	0.001681946558
204	0.001664144389
205	0.001653705561
206	0.00163810341
207	0.001625135889
208	0.001608486307
209	0.00159832925
210	0.001592254127
211	0.001584354153
212	0.001573310922
213	0.00155929642
214	0.001552287818
215	0.001542209646
216	0.001534754849
217	0.00152028456
218	0.001512951541
219	0.001500653637
220	0.001487108603
221	0.001478319287
222	0.001472014561
223	0.001461084665
224	0.001449441812
225	0.001440906001
226	0.001435427764
227	0.001430245729
228	0.001418228596
229	0.001407718059
230	0.001395907617
231	0.001393570861
232	0.00138880314
233	0.001377933514
234	0.001370769412
235	0.001359167934
236	0.001346599276
237	0.001340967495
238	0.001327476738
239	0.001314505228
240	0.001310926592
241	0.001306213772
242	0.001297973707
243	0.001293400151
244	0.001286664091
245	0.001281590164
246	0.001275378958
247	0.001269720162
248	0.001265368414
249	0.001260712845
250	0.001249316297
251	0.001239680354
252	0.001235861017
253	0.001231586762
254	0.001228899684
255	0.001224959193
256	0.001221488496
257	0.001217498202
258	0.001211217453
259	0.001204967867
260	0.001198799538
261	0.001192997258
262	0.001187806284
263	0.001183709608
264	0.001178094069
265	0.001175671107
266	0.001167443761
267	0.001159524085
268	0.001157239019
269	0.001152322018
270	0.001144399193
271	0.001136523512
272	0.001128801864
273	0.00112212233
274	0.001117493015
275	0.001115206247
276	0.001111518081
277	0.00110202934
278	0.001095083749
279	0.001089935789
280	0.001087309669
281	0.001080375548
282	0.001075543166
283	0.001069832356
284	0.001066828987
285	0.00106077809
286	0.00105583868
287	0.001051745969
288	0.001044341424
289	0.001039753562
290	0.001032556849
291	0.001030629465
292	0.00102412819
293	0.001020575989
294	0.001019338836
295	0.001016545872
296	0.001010877483
297	0.001006222341
298	0.001002813955
299	0.0009998367429
